Variável,Quantidade de Zeros
channel_id,0
titulo,0
descricao,0
data_criacao,0
pais,0
inscritos,0
inscritos_ocultos,15
total_videos,0
visualizacoes_canal,0
handle,0
ano_criacao,0
anos_ativos,0
videos_por_ano,0
views_por_ano,0
