vertice,eigenvector
user_87,0.0002
user_195,0.0002
user_103,0.0002
user_426,0.0001
user_101,0.0001
user_320,0.0001
user_303,0.0001
user_420,0.0001
user_284,0.0001
user_273,0.0001
user_205,0.0001
user_52,0.0001
user_444,0.0001
user_422,0.0001
user_7,0.0001
user_378,0.0001
user_30,0.0001
user_37,0.0001
user_271,0.0001
user_325,0.0001
user_66,0.0001
user_178,0.0001
user_371,0.0001
user_416,0.0001
user_318,0.0001
user_127,0.0001
user_169,0.0001
user_78,0.0001
user_12,0.0001
user_376,0.0001
user_299,0.0001
user_28,0.0001
user_389,0.0001
user_349,0.0001
user_254,0.0001
user_295,0.0001
user_90,0.0001
user_162,0.0001
user_44,0.0001
user_223,0.0001
user_218,0.0001
user_125,0.0001
user_143,0.0001
user_184,0.0001
user_369,0.0001
user_120,0.0
user_65,0.0
user_16,0.0
user_344,0.0
user_449,0.0
user_217,0.0
user_238,0.0
user_119,0.0
user_366,0.0
user_210,0.0
user_253,0.0
user_383,0.0
user_317,0.0
user_57,0.0
user_140,0.0
user_333,0.0
user_75,0.0
user_231,0.0
user_237,0.0
user_350,0.0
user_308,0.0
user_166,0.0
user_230,0.0
user_110,0.0
user_186,0.0
user_62,0.0
user_51,0.0
user_22,0.0
user_187,0.0
user_85,0.0
user_114,0.0
user_356,0.0
user_198,0.0
user_118,0.0
user_99,0.0
user_279,0.0
user_285,0.0
user_123,0.0
user_263,0.0
user_242,0.0
user_351,0.0
user_433,0.0
user_329,0.0
user_161,0.0
user_179,0.0
user_423,0.0
user_159,0.0
user_170,0.0
