vertice,out degree centrality
user_420,0.0334
user_405,0.0334
user_308,0.0334
user_169,0.0334
user_133,0.0312
user_123,0.0312
user_62,0.029
user_219,0.029
user_350,0.029
user_22,0.029
user_339,0.0267
user_157,0.0267
user_152,0.0267
user_206,0.0267
user_295,0.0267
user_85,0.0245
user_140,0.0245
user_112,0.0245
user_276,0.0245
user_187,0.0245
user_76,0.0245
user_18,0.0223
user_449,0.0223
user_120,0.0223
user_16,0.02
user_159,0.02
user_366,0.02
user_287,0.02
user_250,0.02
user_312,0.02
user_110,0.02
user_230,0.02
user_289,0.02
user_215,0.0178
user_292,0.0178
user_242,0.0178
user_180,0.0178
user_197,0.0178
user_445,0.0156
user_263,0.0156
user_301,0.0156
user_336,0.0134
user_432,0.0134
user_344,0.0134
user_348,0.0134
user_107,0.0134
user_36,0.0111
user_217,0.0111
user_97,0.0111
user_37,0.0111
user_398,0.0111
user_381,0.0111
user_20,0.0111
user_314,0.0111
user_75,0.0111
user_51,0.0111
user_370,0.0089
user_423,0.0089
user_389,0.0089
user_385,0.0089
user_365,0.0089
user_233,0.0089
user_224,0.0089
user_333,0.0067
user_319,0.0067
user_253,0.0067
user_47,0.0067
user_282,0.0067
user_204,0.0067
user_87,0.0067
user_186,0.0067
user_285,0.0067
user_114,0.0067
user_372,0.0067
user_119,0.0045
user_166,0.0045
user_240,0.0045
user_49,0.0045
user_317,0.0022
user_207,0.0022
user_198,0.0022
user_231,0.0022
user_383,0.0022
user_11,0.0022
user_61,0.0
user_356,0.0
user_176,0.0
user_433,0.0
user_59,0.0
user_60,0.0
user_238,0.0
user_58,0.0
