vertice,in degree centrality
user_431,0.0869
user_380,0.0869
user_438,0.0846
user_95,0.0846
user_195,0.0846
user_435,0.0846
user_189,0.0846
user_310,0.0846
user_392,0.0824
user_290,0.0824
user_101,0.0824
user_427,0.0824
user_193,0.0802
user_52,0.0802
user_401,0.078
user_371,0.078
user_34,0.078
user_146,0.078
user_257,0.078
user_165,0.078
user_267,0.078
user_446,0.0757
user_223,0.0757
user_125,0.0757
user_444,0.0757
user_304,0.0757
user_78,0.0757
user_160,0.0735
user_10,0.0735
user_335,0.0735
user_328,0.0735
user_255,0.0713
user_325,0.0713
user_129,0.069
user_184,0.069
user_58,0.069
user_66,0.069
user_280,0.069
user_218,0.0668
user_2,0.0668
user_132,0.0646
user_254,0.0646
user_349,0.0646
user_358,0.0646
user_7,0.0624
user_28,0.0624
user_303,0.0624
user_222,0.0624
user_90,0.0624
user_92,0.0624
user_9,0.0601
user_127,0.0601
user_299,0.0601
user_430,0.0579
user_320,0.0579
user_376,0.0579
user_27,0.0579
user_64,0.0557
user_44,0.0557
user_67,0.0557
user_269,0.0535
user_214,0.0535
user_156,0.0535
user_109,0.0535
user_417,0.0512
user_316,0.0512
user_12,0.049
user_57,0.049
user_369,0.049
user_43,0.049
user_296,0.049
user_133,0.049
user_179,0.049
user_153,0.049
user_157,0.049
user_273,0.049
user_390,0.049
user_169,0.0468
user_426,0.0468
user_162,0.0468
user_76,0.0468
user_143,0.0468
user_422,0.0468
user_416,0.0445
user_295,0.0445
user_387,0.0445
user_82,0.0445
user_403,0.0445
user_351,0.0445
user_405,0.0445
user_355,0.0423
user_206,0.0423
user_118,0.0423
user_70,0.0423
user_229,0.0423
user_77,0.0401
user_41,0.0401
user_378,0.0401
user_327,0.0401
user_318,0.0401
user_170,0.0379
user_237,0.0379
user_212,0.0379
user_152,0.0356
user_329,0.0356
user_99,0.0356
user_300,0.0356
user_32,0.0356
user_161,0.0356
user_279,0.0334
user_308,0.0334
user_210,0.0334
user_18,0.0334
user_362,0.0312
user_420,0.0312
user_85,0.0312
user_183,0.029
user_365,0.029
user_246,0.029
user_45,0.029
user_219,0.0267
user_22,0.0267
user_187,0.0267
user_350,0.0267
user_180,0.0245
user_120,0.0245
user_16,0.0245
user_449,0.0245
user_339,0.0223
user_250,0.0223
user_110,0.0223
user_123,0.0223
user_276,0.0223
user_140,0.02
user_97,0.02
user_107,0.02
user_230,0.02
user_263,0.02
user_366,0.02
user_312,0.02
user_301,0.0178
user_215,0.0178
user_159,0.0178
user_112,0.0178
user_62,0.0178
user_289,0.0178
user_6,0.0178
user_242,0.0178
user_348,0.0156
user_59,0.0156
user_197,0.0156
user_344,0.0156
user_445,0.0134
user_287,0.0134
user_49,0.0134
user_20,0.0134
user_418,0.0134
user_336,0.0134
user_319,0.0134
user_224,0.0134
user_217,0.0111
user_385,0.0111
user_381,0.0111
user_314,0.0111
user_37,0.0111
user_292,0.0111
user_36,0.0111
user_432,0.0111
user_389,0.0089
user_398,0.0089
user_176,0.0089
user_253,0.0089
user_75,0.0089
user_282,0.0067
user_285,0.0067
user_233,0.0067
user_51,0.0067
user_114,0.0067
user_186,0.0067
user_333,0.0067
user_119,0.0045
user_166,0.0045
user_372,0.0045
user_47,0.0045
user_204,0.0045
user_370,0.0045
user_240,0.0045
user_317,0.0022
user_383,0.0022
user_87,0.0022
user_231,0.0022
user_11,0.0022
user_207,0.0022
user_198,0.0022
user_433,0.0022
user_65,0.0
user_238,0.0
user_356,0.0
user_423,0.0
